Order_ID,Customer_ID,Order_Date,Sales_Channel,Payment_Method,Order_Status,Shipping_Method,Promo_Code
O000037,C02797,2025-09-04,Marketplace,Cash on Delivery,Completed,Express,NONE
O000038,C02025,2024-12-17,Mobile App,Digital Wallet,Completed,Standard,SAVE15
O000039,C02400,2024-11-30,Mobile App,Cash on Delivery,Completed,Standard,FREESHIP
O000040,C05362,2024-09-01,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000041,C04867,2025-11-01,Mobile App,Card,Completed,Standard,FREESHIP
O000042,C03168,2025-01-13,Mobile App,Digital Wallet,Completed,Standard,FREESHIP
O000043,C03389,2025-11-13,Marketplace,Bank Transfer,Completed,Same Day,NONE
O000044,C05024,2025-10-23,Mobile App,Cash on Delivery,Cancelled,Standard,SAVE15
O000045,C06216,2024-08-09,Mobile App,Card,Completed,Standard,NONE
O000046,C00027,2025-03-20,Website,Card,Completed,Standard,NONE
O000047,C03649,2024-08-25,Mobile App,Card,Completed,Express,NONE
O000048,C05200,2025-11-13,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000049,C02042,2025-03-19,Website,Cash on Delivery,Completed,Standard,NONE
O000050,C05152,2025-03-03,Mobile App,Cash on Delivery,Completed,Standard,SAVE15
O000051,C04815,2024-10-28,Website,Card,Cancelled,Standard,NONE
O000052,C05301,2024-12-19,Website,Card,Completed,Standard,NONE
O000053,C00744,2024-11-12,Website,Bank Transfer,Completed,Express,FREESHIP
O000054,C06404,2025-04-29,Website,Cash on Delivery,Completed,Express,NONE
O000055,C06076,2024-06-13,Mobile App,Cash on Delivery,Completed,Standard,WELCOME10
O000056,C00851,2025-09-10,Marketplace,Bank Transfer,Completed,Standard,NONE
O000057,C04888,2024-05-29,Website,Cash on Delivery,Returned,Standard,FREESHIP
O000058,C05327,2024-12-25,Website,Cash on Delivery,Cancelled,Standard,FREESHIP
O000059,C05953,2024-08-06,Mobile App,Cash on Delivery,Completed,Express,NONE
O000060,C03918,2024-05-13,Mobile App,Digital Wallet,Completed,Express,NONE
O000061,C03844,2025-06-23,Website,Digital Wallet,Completed,Standard,FREESHIP
O000062,C02793,2024-12-08,Mobile App,Digital Wallet,Completed,Standard,SAVE15
O000063,C01165,2024-05-31,Website,Digital Wallet,Completed,Standard,SAVE15
O000064,C05513,2025-06-28,Website,Card,Completed,Standard,NONE
O000065,C05746,2024-06-27,Website,Cash on Delivery,Completed,Standard,FREESHIP
O000066,C01235,2024-01-06,Website,Card,Completed,Standard,FREESHIP
O000067,C05210,2024-06-22,Mobile App,Cash on Delivery,Completed,Express,FREESHIP
O000068,C04951,2024-02-24,Website,Digital Wallet,Completed,Standard,NONE
O000069,C03226,2025-06-28,Website,Cash on Delivery,Completed,Standard,NONE
O000070,C02793,2025-01-20,Website,Card,Completed,Express,NONE
O000071,C05857,2024-08-11,Mobile App,Digital Wallet,Completed,Standard,FREESHIP
O000072,C01703,2024-11-29,Website,Cash on Delivery,Completed,Standard,WELCOME10
O000073,C00035,2025-04-21,Mobile App,Cash on Delivery,Completed,Same Day,WELCOME10
O000074,C02281,2024-11-28,Website,Card,Completed,Standard,NONE
O000075,C00922,2024-12-19,Website,Bank Transfer,Completed,Express,NONE
O000076,C04991,2025-12-13,Marketplace,Digital Wallet,Completed,Express,NONE
O000077,C04818,2024-10-17,Marketplace,Cash on Delivery,Completed,Standard,NONE
O000078,C00583,2025-06-03,Marketplace,Cash on Delivery,Completed,Express,WELCOME10
O000079,C04372,2024-07-13,Mobile App,Digital Wallet,Completed,Express,NONE
O000080,C03138,2024-04-04,Marketplace,Bank Transfer,Completed,Same Day,WELCOME10
O000081,C00363,2025-12-03,Website,Cash on Delivery,Cancelled,Standard,NONE
O000082,C02760,2024-11-02,Mobile App,Card,Completed,Standard,FLASH20
O000083,C02759,2024-08-15,Website,Card,Cancelled,Standard,NONE
O000084,C00289,2025-11-16,Website,Digital Wallet,Completed,Standard,FREESHIP
O000085,C04961,2025-01-19,Website,Card,Completed,Standard,NONE
O000086,C03059,2024-07-12,Marketplace,Card,Completed,Standard,SAVE15
O000087,C06161,2024-12-30,Website,Digital Wallet,Completed,Standard,FREESHIP
O000088,C06206,2025-08-20,Mobile App,Bank Transfer,Completed,Standard,NONE
O000089,C01088,2024-09-14,Website,Cash on Delivery,Cancelled,Standard,WELCOME10
O000090,C01257,2024-07-27,Website,Bank Transfer,Completed,Standard,NONE
O000091,C00842,2024-12-15,Website,Cash on Delivery,Completed,Standard,NONE
O000092,C05558,2025-03-29,Mobile App,Bank Transfer,Completed,Standard,NONE
O000093,C04051,2024-09-15,Marketplace,Card,Completed,Standard,NONE
O000094,C06386,2024-11-15,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000095,C04822,2024-01-19,Website,Bank Transfer,Completed,Same Day,NONE
O000096,C04392,2025-11-01,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000097,C05165,2024-11-25,Mobile App,Card,Completed,Standard,WELCOME10
O000098,C01611,2024-12-18,Website,Cash on Delivery,Completed,Same Day,NONE
O000099,C02090,2025-05-21,Mobile App,Cash on Delivery,Completed,Express,WELCOME10
O000100,C05228,2024-12-27,Marketplace,Digital Wallet,Completed,Standard,NONE
O000101,C06458,2024-12-03,Website,Card,Completed,Standard,FREESHIP
O000102,C06462,2025-02-12,Website,Card,Completed,Same Day,SAVE15
O000103,C02919,2025-06-05,Website,Digital Wallet,Completed,Standard,WELCOME10
O000104,C03958,2025-09-23,Website,Digital Wallet,Completed,Standard,NONE
O000105,C05227,2024-04-14,Mobile App,Bank Transfer,Completed,Standard,NONE
O000106,C00686,2024-10-08,Mobile App,Cash on Delivery,Completed,Express,NONE
O000107,C03735,2024-04-08,Mobile App,Card,Completed,Express,WELCOME10
O000108,C00228,2024-09-17,Website,Card,Completed,Standard,NONE
O000109,C02767,2024-10-05,Marketplace,Cash on Delivery,Completed,Express,WELCOME10
O000110,C04478,2024-03-26,Mobile App,Bank Transfer,Completed,Standard,NONE
O000111,C00173,2024-11-19,Website,Digital wallet ,Completed,Standard,WELCOME10
O000112,C02227,2024-04-12,Website,Cash on Delivery,Completed,Standard,SAVE15
O000113,C06036,2024-12-17,Website,Card,Completed,Standard,NONE
O000114,C03945,2025-09-30,Mobile App,Cash on Delivery,Returned,Same Day,SAVE15
O000115,C04366,2024-03-09,Mobile App,Card,Completed,Standard,NONE
O000116,C01483,2024-11-11,Mobile App,Card,Completed,Express,WELCOME10
O000117,C03012,2025-05-03,Website,Card,Completed,Standard,FREESHIP
O000118,C03147,2025-11-02,Marketplace,Card,Cancelled,Express,NONE
O000119,C05929,2025-01-23,Mobile App,Bank Transfer,Completed,Standard,NONE
O000120,C02548,2024-01-05,Mobile App,Card,Completed,Standard,FREESHIP
O000121,C04607,2024-07-16,Website,Cash on Delivery,Returned,Standard,NONE
O000122,C01086,2025-06-13,Marketplace,Card,Completed,Standard,NONE
O000123,C02150,2024-08-30,Mobile App,Digital Wallet,Completed,Express,NONE
O000124,C01730,2025-07-02,Mobile App,Cash on Delivery,Completed,Standard,WELCOME10
O000125,C03689,2024-05-19,Mobile App,Digital Wallet,Completed,Express,WELCOME10
O000126,C04650,2025-03-27,Website,Card,Cancelled,Standard,SAVE15
O000127,C01672,2025-01-14,Mobile App,Digital Wallet,Completed,Standard,SAVE15
O000128,C06175,2025-06-02,Website,Cash on Delivery,Cancelled,Express,NONE
O000129,C01905,2024-12-10,Mobile App,Bank Transfer,Completed,Standard,NONE
O000130,C00990,2025-11-02,Mobile App,Card,Completed,Standard,NONE
O000131,C04196,2025-01-26,Marketplace,Bank Transfer,Completed,Standard,FLASH20
O000132,C05761,2024-06-20,Website,Card,Completed,Standard,NONE
O000133,C03483,2024-03-16,Mobile App,Card,Completed,Standard,NONE
O000134,C00833,2025-08-06,Mobile App,Cash on Delivery,Completed,Express,SAVE15
O000135,C01568,2025-11-27,Website,Card,Completed,Express,FLASH20
O000136,C01213,2024-05-27,Website,Card,Completed,Express,SAVE15
O000137,C01844,2025-07-16,Mobile App,Bank Transfer,Completed,Standard,NONE
O000138,C04357,2024-07-03,Website,Card,Completed,Express,NONE
O000139,C00132,2025-07-15,Marketplace,Digital Wallet,Completed,Standard,SAVE15
O000140,C04350,2025-12-02,Mobile App,Cash on Delivery,Completed,Standard,WELCOME10
O000141,C03683,2024-08-26,Mobile App,Cash on Delivery,Completed,Standard,FREESHIP
O000142,C04335,2024-09-27,Mobile App,Digital Wallet,Completed,Express,FLASH20
O000143,C01759,2025-11-22,Website,Cash on Delivery,Completed,Express,WELCOME10
O000144,C02300,2024-04-14,Website,Cash on Delivery,Completed,Standard,SAVE15
O000145,C04336,2025-08-30,Marketplace,Cash on Delivery,Completed,Standard,FREESHIP
O000146,C02720,2024-05-17,Website,Card,Completed,Same Day,NONE
O000147,C00453,2025-11-15,Website,Card,Completed,Standard,NONE
O000148,C01123,2024-11-13,Website,Cash on Delivery,Completed,Same Day,SAVE15
O000149,C03216,2025-05-12,Marketplace,Digital Wallet,Completed,Standard,NONE
O000150,C00960,2025-12-26,Mobile App,Cash on Delivery,Completed,Express,FREESHIP
O000151,C01905,2025-02-19,Mobile App,Card,Completed,Same Day,FLASH20
O000152,C02129,2024-09-30,Website,Cash on Delivery,Completed,Standard,FREESHIP
O000153,C01728,2025-11-26,Website,Digital Wallet,Completed,Standard,FLASH20
O000154,C01567,2025-09-08,Mobile App,Cash on Delivery,Cancelled,Standard,NONE
O000155,C05833,2024-09-17,Marketplace,Card,Completed,Express,FREESHIP
O000156,C02952,2025-10-13,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000157,C02374,2025-03-24,Website,Card,Completed,Standard,NONE
O000158,C01559,2025-10-17,Website,Card,Completed,Standard,NONE
O000159,C00298,2025-11-07,Mobile App,Card,Completed,Standard,SAVE15
O000160,C05661,2024-10-24,Mobile App,Cash on Delivery,Completed,Express,FLASH20
O000161,C00444,2025-08-08,Website,Cash on Delivery,Completed,Express,SAVE15
O000162,C02116,2024-02-10,Website,Cash on Delivery,Cancelled,Express,NONE
O000163,C05098,2024-02-11,Mobile App,Card,Completed,Express,NONE
O000164,C04062,2025-04-13,Website,Digital Wallet,Completed,Standard,FREESHIP
O000165,C02758,2025-02-07,Website,Card,Completed,Standard,SAVE15
O000166,C03461,2025-04-02,Marketplace,Card,Completed,Express,NONE
O000167,C05202,2025-11-15,Mobile App,Digital Wallet,Completed,Express,WELCOME10
O000168,C05931,2025-02-12,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000169,C01998,2025-03-24,Mobile App,Card,Completed,Express,NONE
O000170,C02278,2024-12-04,Mobile App,Card,Completed,Express,FREESHIP
O000171,C02126,2024-12-29,Mobile App,Cash on Delivery,Completed,Standard,FLASH20
O000172,C00642,2025-12-18,Marketplace,Card,Completed,Standard,SAVE15
O000173,C04422,2025-09-28,Mobile App,Digital Wallet,Completed,Standard,NONE
O000174,C04011,2025-06-26,Marketplace,Card,Completed,Express,FREESHIP
O000175,C01953,2025-08-16,Website,Card,Completed,Express,FLASH20
O000176,C04696,2024-02-01,Website,Digital Wallet,Completed,Express,WELCOME10
O000177,C05800,2025-11-23,Mobile App,Digital Wallet,Completed,Standard,NONE
O000178,C05883,2025-07-16,Website,Digital Wallet,Completed,Standard,NONE
O000179,C01654,2024-07-15,Mobile App,Card,Returned,Standard,NONE
O000180,C06047,2025-10-16,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000181,C02485,2025-05-10,Website,Cash on Delivery,Returned,Standard,NONE
O000182,C02510,2025-11-09,Website,Digital Wallet,Completed,Standard,WELCOME10
O000183,C02520,2024-05-12,Mobile App,Bank Transfer,Completed,Standard,WELCOME10
O000184,C02474,2024-11-27,Mobile App,Bank Transfer,Completed,Standard,NONE
O000185,C04697,2024-05-01,Website,Cash on Delivery,Completed,Standard,NONE
O000186,C00222,2025-12-07,Website,Card,Completed,Standard,FREESHIP
O000187,C01152,2025-10-29,Mobile App,Cash on Delivery,Completed,Same Day,NONE
O000188,C03472,2025-06-27,Website,Digital Wallet,Completed,Same Day,FLASH20
O000189,C02184,2025-08-29,Mobile App,Bank Transfer,Completed,Express,FREESHIP
O000190,C02611,2024-01-27,Mobile App,Digital Wallet,Completed,Express,NONE
O000191,C05249,2025-12-12,Mobile App,Card,Cancelled,Standard,NONE
O000192,C02841,2025-08-13,Mobile App,Cash on Delivery,Completed,Express,NONE
O000193,C03015,2024-01-29,Website,Cash on Delivery,Completed,Standard,NONE
O000194,C06364,2025-12-29,Website,Card,Completed,Standard,FREESHIP
O000195,C04122,2025-08-27,Website,Card,Completed,Standard,NONE
O000196,C04095,2025-07-12,Mobile App,Cash on Delivery,Completed,Same Day,NONE
O000197,C05878,2025-07-06,Mobile App,Digital Wallet,Completed,Standard,NONE
O000198,C04017,2025-05-12,Website,Bank Transfer,Completed,Standard,NONE
O000199,C04710,2024-12-21,Mobile App,Card,Completed,Standard,NONE
O000200,C04069,2025-11-20,Website,Card,Completed,Standard,NONE
O000201,C01366,2025-06-25,Mobile App,Bank Transfer,Completed,Standard,NONE
O000202,C05129,2024-10-03,Mobile App,Card,Completed,Express,FLASH20
O000203,C03207,2025-07-10,Website,Digital Wallet,Completed,Standard,NONE
O000204,C04961,2024-01-17,Mobile App,Digital Wallet,Completed,Standard,NONE
O000205,C00240,2025-07-03,Mobile App,Card,Completed,Standard,NONE
O000206,C01396,2024-06-05,Mobile App,Digital Wallet,Completed,Express,NONE
O000207,C01395,2024-02-12,Website,Digital Wallet,Completed,Standard,FREESHIP
O000208,C00731,2025-06-28,Mobile App,Card,Completed,Standard,NONE
O000209,C04253,2024-09-15,Marketplace,Cash on Delivery,Completed,Standard,NONE
O000210,C04491,2025-03-02,Mobile App,Card,Completed,Same Day,NONE
O000211,C02804,2024-11-20,Website,Digital Wallet,Completed,Express,SAVE15
O000212,C02960,2024-11-01,Mobile App,Card,Completed,Express,WELCOME10
O000213,C05449,2024-12-07,Mobile App,Cash on Delivery,Cancelled,Standard,NONE
O000214,C04818,2024-12-19,Marketplace,Digital Wallet,Completed,Same Day,WELCOME10
O000215,C04423,2024-11-12,Mobile App,Card,Completed,Standard,FLASH20
O000216,C05195,2024-07-11,Mobile App,Digital Wallet,Completed,Same Day,FLASH20
O000217,C00553,2025-11-15,Website,Digital Wallet,Completed,Express,SAVE15
O000218,C05199,2024-08-15,Website,Card,Cancelled,Express,NONE
O000219,C04164,2024-12-03,Website,Cash on Delivery,Cancelled,Standard,WELCOME10
O000220,C05666,2024-07-02,Mobile App,Bank Transfer,Completed,Standard,NONE
O000221,C00932,2025-05-28,Website,Bank Transfer,Completed,Standard,WELCOME10
O000222,C00817,2024-03-07,Website,Digital Wallet,Completed,Express,WELCOME10
O000223,C06121,2025-08-01,Website,Cash on Delivery,Completed,Standard,NONE
O000224,C06448,2024-07-17,Mobile App,Cash on Delivery,Completed,Standard,FLASH20
O000225,C04234,2024-02-13,Marketplace,Card,Completed,Express,WELCOME10
O000226,C00094,2024-03-29,Mobile App,Digital Wallet,Completed,Express,NONE
O000227,C01287,2024-11-19,Website,Digital Wallet,Completed,Standard,NONE
O000228,C00335,2025-10-14,Website,Card,Completed,Standard,NONE
O000229,C05878,2025-08-17,Website,Card,Completed,Standard,WELCOME10
O000230,C00601,2024-01-01,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000231,C02861,2025-11-17,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000232,C01568,2024-03-31,Mobile App,Digital Wallet,Completed,Standard,SAVE15
O000233,C06385,2024-01-05,Website,Card,Completed,Standard,NONE
O000234,C05011,2024-03-23,Website,Bank Transfer,Completed,Standard,NONE
O000235,C03727,2024-05-09,Marketplace,Cash on Delivery,Completed,Standard,WELCOME10
O000236,C01956,2025-10-27,Website,Cash on Delivery,Completed,Standard,NONE
O000237,C05041,2024-11-27,Marketplace,Card,Completed,Standard,NONE
O000238,C05456,2025-04-08,Mobile App,Digital Wallet,Completed,Same Day,NONE
O000239,C06357,2024-02-14,Marketplace,Bank Transfer,Completed,Standard,NONE
O000240,C04102,2024-09-15,Mobile App,Card,Completed,Express,SAVE15
O000241,C05721,2025-01-07,Website,Cash on Delivery,Completed,Same Day,NONE
O000242,C00457,2024-12-16,Mobile App,Card,Cancelled,Express,NONE
O000243,C04688,2024-04-24,Website,Digital Wallet,Completed,Standard,FREESHIP
O000244,C00120,2024-03-12,Mobile App,Digital Wallet,Completed,Same Day,SAVE15
O000245,C00680,2025-02-09,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000246,C04181,2024-12-13,Website,Cash on Delivery,Completed,Standard,NONE
O000247,C05238,2025-11-22,Website,Card,Completed,Standard,NONE
O000248,C02954,2024-03-22,Website,Cash on Delivery,Completed,Standard,NONE
O000249,C01346,2024-11-17,Marketplace,Cash on Delivery,Completed,Standard,SAVE15
O000250,C04947,2025-09-02,Website,Card,Completed,Standard,NONE
O000251,C04350,2025-02-07,Marketplace,Cash on Delivery,Completed,Same Day,FLASH20
O000252,C03274,2025-07-20,Marketplace,Cash on Delivery,Completed,Express,FREESHIP
O000253,C05246,2025-11-19,Website,Digital Wallet,Completed,Express,NONE
O000254,C01530,2025-08-16,Website,Card,Completed,Express,NONE
O000255,C03748,2025-12-05,Website,Cash on Delivery,Completed,Same Day,NONE
O000256,C01395,2025-12-26,Website,Cash on Delivery,Completed,Standard,FREESHIP
O000257,C01169,2024-08-20,Mobile App,Digital Wallet,Completed,Standard,NONE
O000258,C06214,2025-03-07,Website,Bank Transfer,Cancelled,Standard,NONE
O000259,C04186,2025-10-09,Website,Cash on Delivery,Completed,Standard,NONE
O000260,C03955,2025-08-16,Marketplace,Digital Wallet,Completed,Standard,NONE
O000261,C03000,2024-09-11,Mobile App,Card,Returned,Same Day,NONE
O000262,C05652,2024-02-29,Mobile App,Cash on Delivery,Completed,Standard,FREESHIP
O000263,C05714,2025-01-02,Website,Bank Transfer,Completed,Standard,NONE
O000264,C05858,2024-08-01,Mobile App,Bank Transfer,Completed,Standard,NONE
O000265,C05617,2025-04-23,Website,Digital Wallet,Completed,Express,SAVE15
O000266,C04641,2025-02-26,Mobile App,Cash on Delivery,Completed,Express,SAVE15
O000267,C01684,2024-04-22,Mobile App,Cash on Delivery,Completed,Standard,WELCOME10
O000268,C02075,2024-02-06,Website,Digital Wallet,Completed,Standard,NONE
O000269,C05120,2024-09-27,Website,Cash on Delivery,Completed,Standard,NONE
O000270,C01081,2024-10-30,Marketplace,Cash on Delivery,Completed,Standard,NONE
O000271,C01243,2025-07-20,Mobile App,Digital Wallet,Completed,Express,NONE
O000272,C05918,2025-08-25,Website,Cash on Delivery,Completed,Express,NONE
O000273,C03223,2024-12-05,Mobile App,Bank Transfer,Completed,Standard,NONE
O000274,C05506,2025-11-08,Mobile App,Card,Completed,Standard,SAVE15
O000275,C05722,2024-11-22,Website,Bank Transfer,Completed,Standard,FLASH20
O000276,C02990,2025-04-17,Mobile App,Cash on Delivery,Completed,Standard,FLASH20
O000277,C04758,2024-02-16,Mobile App,Cash on Delivery,Completed,Express,NONE
O000278,C03962,2024-10-24,Website,Digital Wallet,Cancelled,Standard,NONE
O000279,C05266,2024-04-06,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000280,C00190,2025-05-16,Mobile App,Bank Transfer,Completed,Standard,FLASH20
O000281,C03362,2024-05-23,Marketplace,Card,Completed,Standard,WELCOME10
O000282,C00859,2024-01-06,Mobile App,Card,Returned,Express,SAVE15
O000283,C01249,2025-11-17,Website,Cash on Delivery,Cancelled,Express,NONE
O000284,C02888,2024-08-09,Marketplace,Digital Wallet,Completed,Express,FLASH20
O000285,C04338,2024-12-03,Mobile App,Bank Transfer,Cancelled,Express,NONE
O000286,C00851,2024-01-24,Website,Card,Completed,Standard,NONE
O000287,C03352,2025-05-29,Website,Cash on Delivery,Completed,Standard,NONE
O000288,C05684,2025-12-25,Mobile App,Bank Transfer,Completed,Standard,NONE
O000289,C05205,2024-09-08,Website,Digital Wallet,Completed,Standard,NONE
O000290,C00727,2025-02-05,Mobile App,Card,Completed,Standard,NONE
O000291,C01688,2025-02-12,Website,Cash on Delivery,Completed,Standard,NONE
O000292,C01561,2024-08-19,Website,Digital Wallet,Completed,Same Day,NONE
O000293,C01250,2025-01-26,Mobile App,Digital Wallet,Completed,Express,NONE
O000294,C05042,2025-08-19,Mobile App,Bank Transfer,Completed,Express,NONE
O000295,C03116,2025-12-10,Marketplace,Digital Wallet,Completed,Standard,NONE
O000296,C05288,2024-03-17,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000297,C03008,2025-09-27,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000298,C01702,2025-03-01,Marketplace,Cash on Delivery,Completed,Standard,WELCOME10
O000299,C03349,2024-04-20,Website,Card,Completed,Standard,WELCOME10
O000300,C00546,2025-03-03,Website,Card,Completed,Express,NONE
O000301,C03000,2024-04-13,Website,Digital Wallet,Completed,Express,NONE
O000302,C01671,2025-08-20,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000303,C02371,2024-11-23,Website,Cash on Delivery,Completed,Standard,NONE
O000304,C02154,2024-11-27,Website,Cash on Delivery,Completed,Standard,NONE
O000305,C00244,2025-10-31,Mobile App,Digital Wallet,Completed,Express,NONE
O000306,C00474,2024-08-03,Mobile App,Bank Transfer,Returned,Express,NONE
O000307,C00511,2025-05-23,Marketplace,Card,Returned,Express,WELCOME10
O000308,C02614,2024-02-29,Marketplace,Cash on Delivery,Completed,Express,NONE
O000309,C01836,2025-09-05,Marketplace,Bank Transfer,Completed,Standard,SAVE15
O000310,C06014,2025-11-16,Mobile App,Card,Completed,Standard,NONE
O000311,C02879,2025-08-09,Website,Cash on Delivery,Completed,Standard,FLASH20
O000312,C00516,2024-09-17,Website,Cash on Delivery,Completed,Standard,SAVE15
O000313,C01783,2025-06-30,Website,Bank Transfer,Completed,Express,SAVE15
O000314,C04104,2024-06-04,Website,Cash on Delivery,Completed,Standard,NONE
O000315,C00927,2025-10-08,Mobile App,Cash on Delivery,Completed,Express,NONE
O000316,C00990,2025-05-17,Mobile App,Cash on Delivery,Completed,Express,NONE
O000317,C01213,2024-07-01,Mobile App,Card,Completed,Standard,NONE
O000318,C06456,2025-03-12,Mobile App,Cash on Delivery,Completed,Express,NONE
O000319,C01328,2024-05-12,Website,Card,Completed,Standard,WELCOME10
O000320,C00807,2024-08-23,Website,Card,Completed,Express,FREESHIP
O000321,C01755,2025-12-26,Website,Digital Wallet,Completed,Standard,FLASH20
O000322,C00764,2025-02-26,Mobile App,Digital Wallet,Completed,Standard,NONE
O000323,C05379,2025-07-13,Website,Digital Wallet,Completed,Express,FREESHIP
O000324,C04597,2024-02-07,Website,Cash on Delivery,Completed,Standard,NONE
O000325,C06006,2025-08-12,Marketplace,Cash on Delivery,Completed,Standard,FREESHIP
O000326,C02963,2024-02-08,Mobile App,Cash on Delivery,Completed,Express,SAVE15
O000327,C00600,2025-12-25,Website,Card,Completed,Standard,FREESHIP
O000328,C05456,2024-06-22,Mobile App,Cash on Delivery,Completed,Express,NONE
O000329,C06214,2024-08-23,Marketplace,Bank Transfer,Completed,Express,NONE
O000330,C02579,2025-04-16,Website,Card,Completed,Standard,NONE
O000331,C03841,2024-09-26,Mobile App,Digital Wallet,Completed,Standard,SAVE15
O000332,C06000,2024-12-09,Website,Card,Completed,Standard,FLASH20
O000333,C02418,2024-04-05,Website,Card,Completed,Standard,NONE
O000334,C04261,2024-07-13,Marketplace,Cash on Delivery,Completed,Standard,NONE
O000335,C00164,2024-04-19,Mobile App,Cash on Delivery,Completed,Standard,FREESHIP
O000336,C01008,2025-12-17,Website,Cash on Delivery,Completed,Express,SAVE15
O000337,C01472,2024-04-04,Website,Card,Completed,Standard,NONE
O000338,C03937,2024-12-30,Website,Bank Transfer,Completed,Same Day,NONE
O000339,C01783,2025-01-25,Website,Digital Wallet,Completed,Express,NONE
O000340,C04555,2024-11-02,Website,Digital Wallet,Completed,Express,NONE
O000341,C02325,2024-02-10,Mobile App,Cash on Delivery,Completed,Standard,SAVE15
O000342,C05865,2025-04-03,Mobile App,Card,Completed,Express,NONE
O000343,C05253,2024-11-25,Website,Cash on Delivery,Completed,Standard,NONE
O000344,C05259,2024-12-06,Mobile App,Card,Completed,Same Day,NONE
O000345,C02204,2024-04-01,Website,Cash on Delivery,Cancelled,Express,FREESHIP
O000346,C05679,2025-03-03,Website,Cash on Delivery,Completed,Standard,WELCOME10
O000347,C03438,2025-02-19,Website,Bank Transfer,Completed,Standard,NONE
O000348,C01113,2025-10-22,Mobile App,Cash on Delivery,Cancelled,Standard,FLASH20
O000349,C05431,2024-01-04,Website,Card,Cancelled,Standard,FREESHIP
O000350,C02427,2024-12-03,Website,Cash on Delivery,Completed,Standard,NONE
