Line_ID,Order_ID,Product_ID,Quantity,Unit_Price,Unit_Cost,Discount_Pct
L0000049,O000023,P0114,1,1460.0,960.0,0.0
L0000050,O000024,P0184,1,2930.0,1650.0,0.0
L0000051,O000024,P0202,1,9350.0,6270.0,0.0
L0000052,O000024,P0081,1,7410.0,4090.0,0.0
L0000053,O000025,P0001,1,1340.0,740.0,0.1
L0000054,O000025,P0084,1,1760.0,1230.0,0.1
L0000055,O000025,P0051,1,3620.0,1890.0,0.05
L0000056,O000026,P0072,1,10350.0,7730.0,0.0
L0000057,O000027,P0008,4,12840.0,9240.0,0.2
L0000058,O000028,P0166,1,630.0,370.0,0.1
L0000059,O000029,P0026,2,10350.0,6600.0,0.0
L0000060,O000030,P0106,1,2430.0,1200.0,0.2
L0000061,O000031,P0214,1,220.0,160.0,0.1
L0000062,O000032,P0228,1,770.0,410.0,0.05
L0000063,O000032,P0060,1,820.0,430.0,0.15
L0000064,O000033,P0188,1,32140.0,23880.0,0.25
L0000065,O000034,P0114,1,1460.0,960.0,0.0
L0000066,O000034,P0029,1,22780.0,11070.0,0.25
L0000067,O000035,P0086,1,2470.0,1270.0,0.0
L0000068,O000036,P0075,1,960.0,490.0,0.2
L0000069,O000036,P0014,1,113630.0,55050.0,0.25
L0000070,O000037,P0146,1,3350.0,1910.0,0.0
L0000071,O000038,P0191,1,9720.0,5580.0,0.25
L0000072,O000038,P0069,1,2740.0,1440.0,0.25
L0000073,O000038,P0237,1,3440.0,1730.0,0.2
L0000074,O000039,P0084,1,1760.0,1230.0,0.25
L0000075,O000039,P0208,1,680.0,380.0,0.0
L0000076,O000040,P0103,1,10500.0,6040.0,0.05
L0000077,O000040,P0225,2,1960.0,1460.0,0.0
L0000078,O000040,P0047,2,5910.0,4230.0,0.1
L0000079,O000040,P0019,1,53690.0,30970.0,0.15
L0000080,O000040,P0094,1,1570.0,920.0,0.05
L0000081,O000041,P0136,1,2010.0,1400.0,0.2
L0000082,O000042,P0214,1,220.0,160.0,0.0
L0000083,O000042,P0140,1,5610.0,4200.0,0.15
L0000084,O000043,P0139,1,700.0,400.0,
L0000085,O000044,P0082,3,1100.0,570.0,0.1
L0000086,O000044,P0079,1,3020.0,2060.0,0.25
L0000087,O000044,P0121,1,480.0,340.0,0.0
L0000088,O000044,P0027,1,1550.0,1080.0,0.05
L0000089,O000045,P0091,2,2470.0,1530.0,0.0
L0000090,O000045,P0155,2,1630.0,1140.0,0.05
L0000091,O000045,P0101,1,1100.0,650.0,0.15
L0000092,O000046,P0166,1,630.0,370.0,0.0
L0000093,O000047,P0208,1,680.0,380.0,0.05
L0000094,O000048,P0129,1,2250.0,1280.0,0.2
L0000095,O000049,P0086,1,2470.0,1270.0,0.0
L0000096,O000050,P0060,1,820.0,430.0,0.0
L0000097,O000050,P0142,2,6160.0,3500.0,0.05
L0000098,O000050,P0068,2,5750.0,2840.0,0.1
L0000099,O000050,P0237,3,3440.0,1730.0,0.0
L0000100,O000050,P0122,1,970.0,680.0,0.0
L0000101,O000051,P0051,1,3620.0,1890.0,0.0
L0000102,O000052,P0110,1,740.0,470.0,0.25
L0000103,O000053,P0060,1,820.0,430.0,0.0
L0000104,O000053,P0079,1,3020.0,2060.0,0.15
L0000105,O000053,P0178,1,860.0,630.0,0.2
L0000106,O000053,P0073,2,2710.0,1640.0,0.2
L0000107,O000054,P0101,2,1100.0,650.0,0.0
L0000108,O000054,P0089,1,1790.0,1310.0,0.1
L0000109,O000055,P0155,1,1630.0,1140.0,0.0
L0000110,O000055,P0106,2,2430.0,1200.0,0.0
L0000111,O000056,P0208,1,680.0,380.0,0.05
L0000112,O000057,P0167,1,9220.0,5370.0,0.0
L0000113,O000057,P0119,4,750.0,370.0,0.15
L0000114,O000057,P0067,2,590.0,390.0,0.0
L0000115,O000057,P0139,2,700.0,400.0,0.0
L0000116,O000058,P0136,2,2010.0,1400.0,0.25
L0000117,O000059,P0191,1,9720.0,5580.0,0.25
L0000118,O000060,P0166,3,630.0,370.0,0.0
L0000119,O000060,P0144,3,400.0,260.0,0.0
L0000120,O000060,P0048,1,910.0,650.0,0.1
L0000121,O000061,P0093,3,8170.0,4790.0,0.0
L0000122,O000061,P0208,2,680.0,380.0,0.0
L0000123,O000062,P0038,1,35580.0,21900.0,0.15
L0000124,O000062,P0114,1,1460.0,960.0,0.0
L0000125,O000063,P0100,1,1860.0,920.0,0.0
L0000126,O000064,P0043,1,1000.0,550.0,0.0
L0000127,O000064,P0077,1,860.0,550.0,0.0
L0000128,O000065,P0228,2,770.0,410.0,0.25
L0000129,O000066,P0005,2,11870.0,6740.0,0.0
L0000130,O000067,P0223,1,260.0,180.0,0.0
L0000131,O000067,P0005,1,11870.0,6740.0,0.0
L0000132,O000067,P0233,2,1680.0,1170.0,0.2
L0000133,O000067,P0166,1,630.0,370.0,0.0
L0000134,O000068,P0074,1,6530.0,3220.0,0.0
L0000135,O000068,P0083,1,14230.0,8460.0,0.1
L0000136,O000068,P0033,2,2970.0,1880.0,0.0
L0000137,O000068,P0089,1,1790.0,1310.0,0.1
L0000138,O000069,P0007,2,17630.0,12980.0,0.0
L0000139,O000069,P0204,2,13130.0,8090.0,0.15
L0000140,O000070,P0240,4,5790.0,4180.0,0.2
L0000141,O000071,P0074,1,6530.0,3220.0,0.0
L0000142,O000072,P0038,1,35580.0,21900.0,0.15
L0000143,O000072,P0027,1,1550.0,1080.0,0.0
L0000144,O000073,P0023,1,1790.0,1260.0,0.15
L0000145,O000073,P0042,1,14360.0,10000.0,0.0
L0000146,O000074,P0155,2,1630.0,1140.0,0.1
L0000147,O000074,P0110,1,740.0,470.0,0.0
L0000148,O000074,P0014,1,113630.0,55050.0,0.0
L0000149,O000074,P0235,1,1050.0,720.0,0.25
L0000150,O000075,P0166,1,630.0,370.0,0.25
L0000151,O000075,P0049,1,710.0,410.0,0.2
L0000152,O000076,P0040,1,6290.0,4370.0,0.15
L0000153,O000077,P0135,2,5580.0,4050.0,0.1
L0000154,O000078,P0061,2,2140.0,1570.0,0.1
L0000155,O000079,P0061,1,2140.0,1570.0,0.0
L0000156,O000080,P0051,1,3620.0,1890.0,0.05
L0000157,O000080,P0174,1,900.0,630.0,0.2
L0000158,O000081,P0119,1,750.0,370.0,0.0
L0000159,O000081,P0090,1,17170.0,11580.0,0.0
L0000160,O000082,P0240,2,5790.0,4180.0,0.15
L0000161,O000083,P0008,1,12840.0,9240.0,0.15
L0000162,O000084,P0077,1,860.0,550.0,0.0
L0000163,O000084,P0016,1,13180.0,7470.0,0.1
L0000164,O000085,P0092,1,10220.0,4930.0,0.05
L0000165,O000085,P0184,2,2930.0,1650.0,0.25
L0000166,O000086,P0103,1,10500.0,6040.0,0.0
L0000167,O000086,P0022,1,10540.0,5560.0,0.0
L0000168,O000087,P0168,2,1620.0,1190.0,0.2
L0000169,O000087,P0122,1,970.0,680.0,0.25
L0000170,O000088,P0155,4,1630.0,1140.0,0.0
L0000171,O000088,P0234,1,280.0,210.0,0.1
L0000172,O000089,P0119,1,750.0,370.0,0.3
L0000173,O000090,P0187,1,22240.0,12390.0,0.1
L0000174,O000090,P0230,1,560.0,340.0,0.0
L0000175,O000090,P0149,1,1260.0,610.0,0.0
L0000176,O000090,P0213,1,760.0,580.0,0.15
L0000177,O000091,P0061,1,2140.0,1570.0,0.3
L0000178,O000092,P0155,1,1630.0,1140.0,0.0
L0000179,O000092,P0191,1,9720.0,5580.0,0.0
L0000180,O000093,P0121,1,480.0,340.0,0.0
L0000181,O000093,P0110,1,740.0,470.0,0.05
L0000182,O000093,P0086,1,2470.0,1270.0,0.0
L0000183,O000094,P0051,2,3620.0,1890.0,0.25
L0000184,O000094,P0180,2,8840.0,4720.0,0.2
L0000185,O000095,P0178,2,860.0,630.0,0.1
L0000186,O000096,P0199,2,3120.0,2320.0,0.0
L0000187,O000097,P0151,1,6870.0,3530.0,0.05
L0000188,O000098,P0140,1,5610.0,4200.0,0.1
L0000189,O000098,P0207,1,1500.0,1140.0,0.15
L0000190,O000098,P0136,1,2010.0,1400.0,0.25
L0000191,O000099,P0077,1,860.0,550.0,0.1
L0000192,O000099,P0075,3,960.0,490.0,0.15
L0000193,O000099,P0208,2,680.0,380.0,0.1
L0000194,O000100,P0043,1,1000.0,550.0,0.3
L0000195,O000100,P0030,1,11980.0,7270.0,0.2
L0000196,O000101,P0188,1,32140.0,23880.0,0.0
L0000197,O000102,P0111,1,16600.0,10290.0,0.0
L0000198,O000102,P0026,1,10350.0,6600.0,0.05
L0000199,O000102,P0226,1,660.0,480.0,0.0
L0000200,O000103,P0219,1,1620.0,800.0,0.25
L0000201,O000103,P0053,1,6860.0,3350.0,0.2
L0000202,O000104,P0056,1,9600.0,4930.0,0.0
L0000203,O000104,P0165,1,1570.0,910.0,0.15
L0000204,O000104,P0208,1,680.0,380.0,0.0
L0000205,O000104,P0083,3,14230.0,8460.0,0.0
L0000206,O000105,P0164,1,8790.0,6610.0,0.0
L0000207,O000106,P0186,1,19140.0,10540.0,0.0
L0000208,O000107,P0187,1,22240.0,12390.0,0.3
L0000209,O000107,P0063,1,5720.0,3930.0,0.1
L0000210,O000108,P0172,1,770.0,460.0,0.1
L0000211,O000109,P0224,1,310.0,200.0,0.25
L0000212,O000109,P0105,2,12140.0,8640.0,0.05
L0000213,O000110,P0159,1,4960.0,3700.0,0.0
L0000214,O000111,P0190,1,13350.0,10040.0,0.05
L0000215,O000111,P0110,1,740.0,470.0,
L0000216,O000112,P0038,2,35580.0,21900.0,0.0
L0000217,O000112,P0022,1,10540.0,5560.0,0.0
L0000218,O000113,P0239,1,570.0,420.0,0.1
L0000219,O000114,P0032,1,20120.0,15230.0,0.05
L0000220,O000114,P0042,1,14360.0,10000.0,0.3
L0000221,O000115,P0213,2,760.0,580.0,0.1
L0000222,O000115,P0051,1,3620.0,1890.0,0.0
L0000223,O000115,P0174,1,900.0,630.0,0.0
L0000224,O000116,P0166,1,630.0,370.0,0.1
L0000225,O000117,P0064,1,1420.0,950.0,0.0
L0000226,O000117,P0227,1,12420.0,9180.0,0.0
L0000227,O000117,P0147,1,11410.0,7880.0,0.0
L0000228,O000118,P0113,2,2250.0,1520.0,0.0
L0000229,O000118,P0198,2,1030.0,750.0,0.3
L0000230,O000118,P0239,4,570.0,420.0,0.15
L0000231,O000118,P0128,1,11540.0,8760.0,0.2
L0000232,O000118,P0019,1,53690.0,30970.0,0.2
L0000233,O000119,P0133,1,6110.0,3980.0,0.0
L0000234,O000119,P0167,1,9220.0,5370.0,0.05
L0000235,O000120,P0240,1,5790.0,4180.0,0.1
L0000236,O000120,P0238,1,630.0,450.0,0.05
L0000237,O000121,P0045,2,4930.0,2720.0,0.2
L0000238,O000122,P0202,1,9350.0,6270.0,0.0
L0000239,O000123,P0235,1,1050.0,720.0,0.15
L0000240,O000124,P0209,1,690.0,420.0,0.0
L0000241,O000124,P0041,1,11910.0,8880.0,0.05
L0000242,O000125,P0008,1,12840.0,9240.0,0.0
L0000243,O000125,P0016,1,13180.0,7470.0,0.0
L0000244,O000125,P0052,1,17380.0,9850.0,0.2
L0000245,O000126,P0007,1,17630.0,12980.0,0.25
L0000246,O000127,P0201,2,850.0,470.0,0.2
L0000247,O000128,P0120,1,11790.0,6150.0,0.05
L0000248,O000129,P0100,1,1860.0,920.0,0.0
L0000249,O000129,P0191,1,9720.0,5580.0,0.1
L0000250,O000130,P0103,1,10500.0,6040.0,0.1
L0000251,O000130,P0197,2,790.0,520.0,0.25
L0000252,O000130,P0230,1,560.0,340.0,0.2
L0000253,O000130,P0212,1,340.0,200.0,0.15
L0000254,O000131,P0208,1,680.0,380.0,0.15
L0000255,O000132,P0127,1,420.0,240.0,0.15
L0000256,O000132,P0025,1,2150.0,1030.0,0.0
L0000257,O000132,P0155,1,1630.0,1140.0,0.0
L0000258,O000133,P0079,1,3020.0,2060.0,0.05
L0000259,O000133,P0240,2,5790.0,4180.0,0.0
L0000260,O000133,P0089,1,1790.0,1310.0,0.0
L0000261,O000134,P0079,2,3020.0,2060.0,0.05
L0000262,O000134,P0016,1,13180.0,7470.0,0.0
L0000263,O000135,P0089,1,1790.0,1310.0,0.0
L0000264,O000135,P0016,1,13180.0,7470.0,0.15
L0000265,O000135,P0214,1,220.0,160.0,0.0
L0000266,O000136,P0202,1,9350.0,6270.0,0.05
L0000267,O000137,P0239,1,570.0,420.0,0.05
L0000268,O000138,P0004,1,2660.0,1690.0,0.0
L0000269,O000138,P0053,1,6860.0,3350.0,0.0
L0000270,O000138,P0052,1,17380.0,9850.0,0.0
L0000271,O000138,P0228,1,770.0,410.0,0.3
L0000272,O000139,P0013,1,9660.0,4960.0,0.0
L0000273,O000139,P0076,1,7240.0,4550.0,0.0
L0000274,O000140,P0240,1,5790.0,4180.0,0.0
L0000275,O000140,P0010,1,125240.0,61300.0,0.0
L0000276,O000140,P0235,1,1050.0,720.0,0.25
L0000277,O000140,P0155,1,1630.0,1140.0,0.15
L0000278,O000141,P0014,1,113630.0,55050.0,0.0
L0000279,O000142,P0224,1,310.0,200.0,0.0
L0000280,O000142,P0061,1,2140.0,1570.0,0.0
L0000281,O000142,P0106,1,2430.0,1200.0,0.2
L0000282,O000142,P0240,2,5790.0,4180.0,0.05
L0000283,O000143,P0131,1,8350.0,5410.0,0.0
L0000284,O000143,P0198,1,1030.0,750.0,0.15
L0000285,O000144,P0141,1,8150.0,5740.0,0.0
L0000286,O000144,P0168,2,1620.0,1190.0,0.15
L0000287,O000145,P0240,1,5790.0,4180.0,0.0
L0000288,O000145,P0139,1,700.0,400.0,0.1
L0000289,O000145,P0032,1,20120.0,15230.0,0.0
L0000290,O000146,P0034,1,132240.0,78310.0,0.0
L0000291,O000146,P0068,1,5750.0,2840.0,0.1
L0000292,O000147,P0184,1,2930.0,1650.0,0.0
L0000293,O000147,P0083,1,14230.0,8460.0,0.15
L0000294,O000148,P0193,1,11050.0,7780.0,0.3
L0000295,O000149,P0129,1,2250.0,1280.0,0.0
L0000296,O000150,P0207,1,1500.0,1140.0,0.0
L0000297,O000150,P0227,1,12420.0,9180.0,0.2
L0000298,O000150,P0084,1,1760.0,1230.0,0.2
L0000299,O000151,P0105,1,12140.0,8640.0,0.0
L0000300,O000151,P0208,1,680.0,380.0,0.0
L0000301,O000152,P0129,1,2250.0,1280.0,0.0
L0000302,O000153,P0043,1,1000.0,550.0,0.25
L0000303,O000153,P0118,1,5520.0,2770.0,0.0
L0000304,O000153,P0073,1,2710.0,1640.0,0.0
L0000305,O000154,P0186,1,19140.0,10540.0,0.1
L0000306,O000154,P0190,1,13350.0,10040.0,0.0
L0000307,O000154,P0194,1,1160.0,680.0,0.1
L0000308,O000155,P0127,1,420.0,240.0,0.0
L0000309,O000156,P0116,1,3770.0,2520.0,0.2
L0000310,O000156,P0169,1,32480.0,18760.0,0.0
L0000311,O000157,P0042,1,14360.0,10000.0,0.1
L0000312,O000157,P0088,1,810.0,480.0,0.0
L0000313,O000157,P0208,1,680.0,380.0,0.2
L0000314,O000158,P0032,1,20120.0,15230.0,0.0
L0000315,O000158,P0042,1,14360.0,10000.0,0.15
L0000316,O000159,P0152,1,2450.0,1550.0,0.0
L0000317,O000159,P0230,2,560.0,340.0,0.0
L0000318,O000160,P0161,1,19490.0,14550.0,0.15
L0000319,O000160,P0064,3,1420.0,950.0,0.0
L0000320,O000161,P0129,1,2250.0,1280.0,0.0
L0000321,O000161,P0138,1,6230.0,4030.0,0.0
L0000322,O000161,P0122,2,970.0,680.0,0.0
L0000323,O000162,P0060,1,820.0,430.0,0.25
L0000324,O000163,P0174,1,900.0,630.0,0.0
L0000325,O000163,P0122,1,970.0,680.0,0.0
L0000326,O000164,P0146,1,3350.0,1910.0,0.0
L0000327,O000165,P0052,1,17380.0,9850.0,0.25
L0000328,O000165,P0236,1,3320.0,2190.0,0.0
L0000329,O000165,P0083,1,14230.0,8460.0,0.1
L0000330,O000165,P0159,1,4960.0,3700.0,0.1
L0000331,O000166,P0180,3,8840.0,4720.0,0.3
L0000332,O000166,P0027,1,1550.0,1080.0,0.1
L0000333,O000167,P0227,2,12420.0,9180.0,0.0
L0000334,O000167,P0170,1,6790.0,4260.0,0.15
L0000335,O000168,P0191,3,9720.0,5580.0,0.0
L0000336,O000168,P0119,2,750.0,370.0,0.0
L0000337,O000168,P0043,1,1000.0,550.0,0.1
L0000338,O000169,P0208,1,680.0,380.0,0.0
L0000339,O000170,P0027,1,1550.0,1080.0,0.3
L0000340,O000171,P0173,1,29440.0,22240.0,0.2
L0000341,O000171,P0005,1,11870.0,6740.0,0.0
L0000342,O000172,P0026,4,10350.0,6600.0,0.0
L0000343,O000172,P0163,1,6660.0,3660.0,0.3
L0000344,O000173,P0104,2,970.0,670.0,0.0
L0000345,O000173,P0076,1,7240.0,4550.0,0.15
L0000346,O000173,P0215,1,11710.0,5840.0,0.1
L0000347,O000174,P0089,1,1790.0,1310.0,0.0
L0000348,O000174,P0039,2,122100.0,72680.0,0.0
L0000349,O000175,P0129,2,2250.0,1280.0,0.2
L0000350,O000175,P0167,1,9220.0,5370.0,0.1
L0000351,O000176,P0150,1,560.0,390.0,0.0
L0000352,O000177,P0041,1,11910.0,8880.0,0.3
L0000353,O000177,P0166,1,630.0,370.0,0.15
L0000354,O000177,P0043,1,1000.0,550.0,0.0
L0000355,O000177,P0114,1,1460.0,960.0,0.3
L0000356,O000178,P0208,1,680.0,380.0,0.0
L0000357,O000179,P0155,1,1630.0,1140.0,0.0
L0000358,O000180,P0240,1,5790.0,4180.0,0.0
L0000359,O000181,P0121,1,480.0,340.0,0.3
L0000360,O000181,P0196,1,2140.0,1370.0,0.1
L0000361,O000182,P0186,1,19140.0,10540.0,0.0
L0000362,O000182,P0202,1,9350.0,6270.0,0.3
L0000363,O000183,P0070,1,7890.0,3980.0,0.25
L0000364,O000184,P0208,1,680.0,380.0,0.15
L0000365,O000184,P0014,1,113630.0,55050.0,0.2
L0000366,O000185,P0012,1,5070.0,2940.0,0.0
L0000367,O000185,P0025,3,2150.0,1030.0,0.2
L0000368,O000185,P0047,1,5910.0,4230.0,0.25
L0000369,O000185,P0042,1,14360.0,10000.0,0.25
L0000370,O000185,P0085,1,970.0,550.0,0.0
L0000371,O000186,P0042,1,14360.0,10000.0,0.1
L0000372,O000186,P0206,2,260.0,190.0,0.0
L0000373,O000186,P0197,1,790.0,520.0,0.0
L0000374,O000187,P0142,1,6160.0,3500.0,0.0
L0000375,O000188,P0216,1,1410.0,790.0,0.1
L0000376,O000189,P0051,1,3620.0,1890.0,0.0
L0000377,O000190,P0027,1,1550.0,1080.0,0.1
L0000378,O000190,P0216,1,1410.0,790.0,0.3
L0000379,O000191,P0066,1,3840.0,2880.0,0.2
L0000380,O000192,P0052,1,17380.0,9850.0,0.0
L0000381,O000192,P0155,1,1630.0,1140.0,0.1
L0000382,O000193,P0221,1,2360.0,1460.0,0.0
L0000383,O000194,P0208,1,680.0,380.0,0.2
L0000384,O000195,P0159,1,4960.0,3700.0,0.0
L0000385,O000195,P0020,2,65970.0,44940.0,0.2
L0000386,O000196,P0216,3,1410.0,790.0,0.2
L0000387,O000196,P0181,1,24930.0,15700.0,0.1
L0000388,O000196,P0158,2,3300.0,2030.0,0.1
L0000389,O000197,P0156,1,9270.0,6380.0,0.1
L0000390,O000197,P0227,4,12420.0,9180.0,0.0
L0000391,O000197,P0164,1,8790.0,6610.0,0.0
L0000392,O000197,P0032,1,20120.0,15230.0,0.0
L0000393,O000197,P0208,1,680.0,380.0,0.15
L0000394,O000198,P0112,3,7050.0,4150.0,0.25
L0000395,O000199,P0002,1,1480.0,900.0,0.0
L0000396,O000200,P0155,1,1630.0,1140.0,0.0
L0000397,O000200,P0059,1,8700.0,6480.0,0.1
L0000398,O000201,P0178,1,860.0,630.0,0.0
L0000399,O000202,P0043,1,1000.0,550.0,0.0
L0000400,O000203,P0100,1,1860.0,920.0,0.0
L0000401,O000203,P0033,1,2970.0,1880.0,0.05
L0000402,O000203,P0136,1,2010.0,1400.0,0.05
L0000403,O000204,P0016,1,13180.0,7470.0,0.0
L0000404,O000204,P0104,2,970.0,670.0,0.0
L0000405,O000205,P0181,2,24930.0,15700.0,0.1
L0000406,O000206,P0037,1,51720.0,28840.0,0.0
L0000407,O000206,P0131,1,8350.0,5410.0,0.0
L0000408,O000206,P0189,3,7940.0,4910.0,0.0
L0000409,O000207,P0136,1,2010.0,1400.0,0.0
L0000410,O000207,P0095,1,14000.0,8420.0,0.0
L0000411,O000208,P0117,2,2870.0,1380.0,0.1
L0000412,O000208,P0082,2,1100.0,570.0,0.2
L0000413,O000209,P0034,1,132240.0,78310.0,0.0
L0000414,O000209,P0140,1,5610.0,4200.0,0.0
L0000415,O000209,P0082,1,1100.0,570.0,0.0
L0000416,O000210,P0099,1,15010.0,11350.0,0.0
L0000417,O000211,P0144,1,400.0,260.0,0.0
L0000418,O000211,P0016,1,13180.0,7470.0,0.25
L0000419,O000211,P0208,1,680.0,380.0,0.0
L0000420,O000212,P0223,1,260.0,180.0,0.0
L0000421,O000212,P0089,1,1790.0,1310.0,0.05
L0000422,O000212,P0118,4,5520.0,2770.0,0.05
L0000423,O000213,P0177,1,2220.0,1360.0,0.2
L0000424,O000214,P0019,1,53690.0,30970.0,0.25
L0000425,O000215,P0150,3,560.0,390.0,0.0
L0000426,O000216,P0230,1,560.0,340.0,0.0
L0000427,O000217,P0079,2,3020.0,2060.0,0.0
L0000428,O000217,P0132,2,860.0,510.0,0.0
L0000429,O000217,P0089,1,1790.0,1310.0,0.3
L0000430,O000217,P0208,1,680.0,380.0,0.2
L0000431,O000218,P0108,2,6640.0,4960.0,0.0
L0000432,O000218,P0038,2,35580.0,21900.0,0.0
L0000433,O000218,P0065,3,1460.0,990.0,0.2
L0000434,O000219,P0231,1,5790.0,3440.0,0.05
L0000435,O000219,P0203,1,550.0,390.0,0.15
L0000436,O000219,P0034,1,132240.0,78310.0,0.2
L0000437,O000219,P0159,1,4960.0,3700.0,0.0
L0000438,O000219,P0051,3,3620.0,1890.0,0.2
L0000439,O000220,P0099,1,15010.0,11350.0,0.3
L0000440,O000221,P0165,1,1570.0,910.0,0.3
L0000441,O000222,P0076,1,7240.0,4550.0,0.3
L0000442,O000223,P0029,4,22780.0,11070.0,0.15
L0000443,O000223,P0026,2,10350.0,6600.0,0.15
L0000444,O000223,P0051,1,3620.0,1890.0,0.0
L0000445,O000224,P0045,2,4930.0,2720.0,0.0
L0000446,O000224,P0203,1,550.0,390.0,0.15
L0000447,O000224,P0003,3,18440.0,13820.0,0.1
L0000448,O000225,P0031,3,5660.0,3110.0,0.0
L0000449,O000225,P0237,1,3440.0,1730.0,0.0
L0000450,O000225,P0158,1,3300.0,2030.0,0.0
L0000451,O000225,P0129,3,2250.0,1280.0,0.0
L0000452,O000226,P0162,1,760.0,410.0,0.0
L0000453,O000227,P0183,1,21710.0,11070.0,0.05
L0000454,O000228,P0137,1,2630.0,1960.0,0.0
L0000455,O000229,P0037,1,51720.0,28840.0,0.0
L0000456,O000230,P0155,1,1630.0,1140.0,0.1
L0000457,O000230,P0073,1,2710.0,1640.0,0.0
L0000458,O000231,P0002,1,1480.0,900.0,0.0
L0000459,O000232,P0170,3,6790.0,4260.0,0.0
L0000460,O000233,P0033,2,2970.0,1880.0,0.0
L0000461,O000234,P0086,1,2470.0,1270.0,0.0
L0000462,O000234,P0186,1,19140.0,10540.0,0.0
L0000463,O000234,P0182,1,1870.0,1390.0,0.0
L0000464,O000235,P0052,1,17380.0,9850.0,0.15
L0000465,O000236,P0178,1,860.0,630.0,0.2
L0000466,O000237,P0054,1,550.0,320.0,0.2
L0000467,O000238,P0155,2,1630.0,1140.0,0.0
L0000468,O000238,P0136,3,2010.0,1400.0,0.2
L0000469,O000238,P0178,1,860.0,630.0,0.0
L0000470,O000238,P0152,2,2450.0,1550.0,0.3
L0000471,O000239,P0045,1,4930.0,2720.0,0.0
L0000472,O000240,P0202,1,9350.0,6270.0,0.0
L0000473,O000240,P0140,2,5610.0,4200.0,0.2
L0000474,O000240,P0074,1,6530.0,3220.0,0.05
L0000475,O000240,P0181,1,24930.0,15700.0,0.25
L0000476,O000240,P0217,1,2370.0,1200.0,0.15
L0000477,O000241,P0076,1,7240.0,4550.0,0.0
L0000478,O000241,P0213,1,760.0,580.0,0.1
L0000479,O000241,P0231,2,5790.0,3440.0,0.25
L0000480,O000241,P0054,1,550.0,320.0,0.0
L0000481,O000241,P0159,1,4960.0,3700.0,0.25
L0000482,O000242,P0043,1,1000.0,550.0,0.0
L0000483,O000243,P0090,2,17170.0,11580.0,0.1
L0000484,O000244,P0129,1,2250.0,1280.0,0.1
L0000485,O000245,P0208,2,680.0,380.0,0.0
L0000486,O000246,P0043,2,1000.0,550.0,0.15
L0000487,O000246,P0227,1,12420.0,9180.0,0.0
L0000488,O000247,P0187,1,22240.0,12390.0,0.1
L0000489,O000247,P0113,1,2250.0,1520.0,0.0
