Customer_ID,Customer_Segment,City,Signup_Date,Acquisition_Channel
C00077,Consumer,Rawalpindi,2025-04-11,Social Media
C00078,Consumer,Gujranwala,2024-02-11,Email
C00079,Home Office,Faisalabad,2025-06-16,Organic Search
C00080,Consumer,Islamabad,2025-06-22,Email
C00081,Consumer,Rawalpindi,2025-01-16,Email
C00082,Home Office,Rawalpindi,2024-11-17,Email
C00083,Small Business,Rawalpindi,2025-11-27,Organic Search
C00084,Consumer,Gujranwala,2024-12-01,Social Media
C00085,Home Office,Lahore,2024-02-26,Paid Search
C00086,Home Office,Karachi,2024-01-19,Referral
C00087,Home Office,Karachi,2023-01-15,Social Media
C00088,Consumer,Multan,2024-05-19,Email
C00089,Home Office,Lahore,2023-10-26,Paid Search
C00090,Consumer,Peshawar,2023-10-16,Organic Search
C00091,Consumer,Lahore,2023-09-12,Paid Search
C00092,Consumer,Karachi,2023-04-10,Email
C00093,Consumer,Karachi,2024-12-21,Social Media
C00094,Consumer,Peshawar,2025-01-16,Email
C00095,Home Office,Gujranwala,2023-05-08,Affiliate
C00096,Consumer,Peshawar,2023-07-27,Referral
C00097,Consumer,Faisalabad,2024-03-25,Paid Search
C00098,Home Office,Karachi,2025-01-13,social media
C00099,Consumer,Gujranwala,2022-09-20,Referral
C00100,Consumer,Gujranwala,2025-02-19,Paid Search
C00101,Consumer,Islamabad,2022-10-17,Affiliate
C00102,Consumer,Karachi,2024-06-12,Paid Search
C00103,Consumer,Islamabad,2024-01-29,Email
C00104,Consumer,Peshawar,2024-07-12,Affiliate
C00105,Consumer,Karachi,2023-05-05,Email
C00106,Consumer,Karachi,2024-12-27,Referral
C00107,Home Office,Faisalabad,2022-11-30,Organic Search
C00108,Consumer,Islamabad,2022-08-12,Social Media
C00109,Consumer,Lahore,2023-03-17,Referral
C00110,Consumer,Multan,2024-08-21,Social Media
C00111,Small Business,Peshawar,2024-04-26,Social Media
C00112,Consumer,Islamabad,2024-07-06,Social Media
C00113,Consumer,Multan,2023-11-29,Paid Search
C00114,Consumer,Gujranwala,2023-09-15,Affiliate
C00115,Small Business,Islamabad,2022-09-23,Social Media
C00116,Consumer,Faisalabad,2022-07-04,Email
C00117,Consumer,Islamabad,2025-11-01,Paid Search
C00118,Consumer,Lahore,2025-02-27,Referral
C00119,Consumer,Gujranwala,2025-10-09,Social Media
C00120,Consumer,Karachi,2022-09-15,Organic Search
C00121,Small Business,Peshawar,2023-01-21,Social Media
C00122,Consumer,Multan,2022-10-22,Paid Search
C00123,Consumer,Karachi,2025-04-10,Paid Search
C00124,Home Office,Peshawar,2025-11-12,Email
C00125,Consumer,Faisalabad,2022-07-03,Organic Search
C00126,Home Office,Multan,2024-06-20,Referral
C00127,Small Business,Faisalabad,2025-02-13,Organic Search
C00128,Consumer,Karachi,2022-11-13,Email
C00129,Small Business,Karachi,2024-05-02,Organic Search
C00130,Consumer,Peshawar,2023-05-26,Affiliate
C00131,Consumer,Karachi,2022-10-26,Paid Search
C00132,Consumer,Faisalabad,2024-05-21,Organic Search
C00133,Consumer,Lahore,2024-06-21,Affiliate
C00134,Consumer,Karachi,2024-08-07,Organic Search
C00135,Consumer,Multan,2023-06-18,Paid Search
C00136,Small Business,Islamabad,2025-08-03,Paid Search
C00137,Small Business,Islamabad,2024-05-02,Organic Search
C00138,Consumer,Karachi,2023-01-11,Referral
C00139,Home Office,Gujranwala,2024-12-04,Organic Search
C00140,Consumer,Karachi,2023-03-06,Paid Search
C00141,Small Business,Lahore,2024-05-10,Affiliate
C00142,Consumer,Lahore,2022-12-10,Affiliate
C00143,Consumer,Rawalpindi,2023-12-03,Social Media
C00144,Consumer,Karachi,2025-01-07,Email
C00145,Consumer,Karachi,2025-06-18,Paid Search
C00146,Consumer,Karachi,2022-08-24,Organic Search
C00147,Home Office,Lahore,2022-07-05,Paid Search
C00148,Consumer,Islamabad,2025-08-17,Email
C00149,Home Office,Gujranwala,2023-11-10,Social Media
C00150,Consumer,Multan,2025-01-03,Email
C00151,Consumer,Lahore,2023-04-23,Social Media
C00152,Consumer,Rawalpindi,2024-05-26,Paid Search
C00153,Consumer,Karachi,2022-08-12,Organic Search
C00154,Home Office,Multan,2025-04-27,Affiliate
C00155,Consumer,Karachi,2024-11-07,Social Media
C00156,Consumer,Islamabad,2025-05-08,Affiliate
C00157,Consumer,Rawalpindi,2023-09-02,Social Media
C00158,Consumer,Lahore,2024-08-22,Email
C00159,Small Business,Lahore,2024-01-17,Paid Search
C00160,Small Business,Karachi,2024-10-12,Paid Search
C00161,Consumer,Karachi,2025-01-15,Affiliate
C00162,Consumer,Karachi,2025-05-17,Organic Search
C00163,Consumer,Lahore,2023-12-04,Social Media
C00164,Small Business,Lahore,2022-06-20,Affiliate
C00165,Home Office,Faisalabad,2022-06-04,Paid Search
C00166,Consumer,Lahore,2025-07-22,Paid Search
C00167,Home Office,Lahore,2024-06-17,Referral
C00168,Consumer,Faisalabad,2024-03-24,Organic Search
C00169,Consumer,Islamabad,2025-09-27,Affiliate
C00170,Consumer,Rawalpindi,2024-05-11,Referral
C00171,Consumer,Faisalabad,2023-01-02,Organic Search
C00172,Home Office,Karachi,2023-05-20,Social Media
C00173,Small Business,Lahore,2024-07-26,Organic Search
C00174,Small Business,Karachi,2023-09-12,Social Media
C00175,Consumer,Lahore,2024-01-24,Organic Search
C00176,Small Business,Lahore,2023-05-15,Social Media
C00177,Home Office,Gujranwala,2024-01-07,Social Media
C00178,Consumer,Lahore,2023-09-27,Organic Search
C00179,Home Office,Lahore,2023-02-27,Organic Search
C00180,Consumer,Karachi,2023-09-24,Social Media
C00181,Home Office,Karachi,2022-09-29,Referral
C00182,Consumer,Karachi,2022-08-02,Email
C00183,Consumer,Multan,2025-02-18,Referral
C00184,Small Business,Faisalabad,2025-11-16,Organic Search
C00185,Consumer,Islamabad,2025-06-17,Referral
C00186,Consumer,Gujranwala,2022-08-16,Social Media
C00187,Consumer,Gujranwala,2023-04-07,Organic Search
C00188,Small Business,Gujranwala,2023-10-07,Email
C00189,Consumer,Karachi,2022-08-16,Organic Search
C00190,Consumer,Islamabad,2024-11-01,Paid Search
C00191,Home Office,Peshawar,2024-11-22,Referral
C00192,Consumer,Lahore,2023-07-26,Organic Search
C00193,Consumer,Lahore,2024-11-17,Organic Search
C00194,Consumer,Rawalpindi,2024-04-19,Organic Search
C00195,Consumer,Gujranwala,2023-07-11,Organic Search
C00196,Small Business,Gujranwala,2025-05-23,Email
C00197,Small Business,Lahore,2025-11-03,Social Media
C00198,Consumer,Faisalabad,2023-02-27,Referral
C00199,Consumer,Faisalabad,2023-01-16,Paid Search
C00200,Consumer,Rawalpindi,2025-02-23,Affiliate
C00201,Consumer,Karachi,2023-02-03,Paid Search
C00202,Consumer,Karachi,2023-04-19,Paid Search
C00203,Small Business,Karachi,2022-10-13,Referral
C00204,Consumer,Rawalpindi,2024-05-28,Social Media
C00205,Consumer,Karachi,2025-12-07,Affiliate
C00206,Consumer,Karachi,2024-07-19,Organic Search
C00207,Consumer,Karachi,2024-03-03,Social Media
C00208,Small Business,Rawalpindi,2024-09-18,Email
C00209,Consumer,Islamabad,2023-09-21,Social Media
C00210,Consumer,Karachi,2025-08-01,Social Media
C00211,Consumer,Islamabad,2024-10-30,Referral
C00212,Consumer,Karachi,2025-01-31,Email
C00213,Home Office,Lahore,2023-02-18,Referral
C00214,Consumer,Lahore,2023-10-25,Social Media
C00215,Consumer,Lahore,2022-06-17,Social Media
C00216,Consumer,Gujranwala,2025-04-26,Organic Search
C00217,Consumer,Karachi,2023-09-02,Email
C00218,Small Business,Gujranwala,2024-06-06,Paid Search
C00219,Consumer,Rawalpindi,2022-11-28,Affiliate
C00220,Small Business,Karachi,2025-08-02,Organic Search
C00221,Consumer,Lahore,2023-01-01,Referral
C00222,Consumer,Rawalpindi,2025-04-22,Social Media
C00223,Consumer,Islamabad,2022-07-29,Social Media
C00224,Home Office,Karachi,2023-05-07,Organic Search
C00225,Consumer,Lahore,2023-04-18,Referral
C00226,Small Business,Peshawar,2025-01-13,Social Media
C00227,Consumer,Lahore,2025-08-14,Paid Search
C00228,Consumer,Islamabad,2025-11-24,Email
C00229,Home Office,Islamabad,2025-10-02,Social Media
C00230,Home Office,Multan,2024-11-21,Email
C00231,Small Business,Karachi,2025-03-11,Paid Search
C00232,Consumer,Lahore,2022-10-04,Referral
C00233,Consumer,Karachi,2023-04-10,Organic Search
C00234,Consumer,Faisalabad,2025-05-05,Referral
C00235,Consumer,Peshawar,2023-07-29,Email
C00236,Consumer,Karachi,2023-12-06,Organic Search
C00237,Consumer,Lahore,2023-03-15,Paid Search
C00238,Home Office,Lahore,2022-10-18,Social Media
C00239,Consumer,Faisalabad,2023-03-11,Affiliate
C00240,Consumer,Rawalpindi,2024-04-23,Email
C00241,Small Business,Islamabad,2025-03-08,Paid Search
C00242,Home Office,Karachi,2024-05-30,Social Media
C00243,Consumer,Multan,2025-04-04,Email
C00244,Consumer,Multan,2024-05-21,Organic Search
C00245,Small Business,Gujranwala,2025-07-18,Social Media
C00246,Consumer,Multan,2025-05-22,Organic Search
C00247,Consumer,Karachi,2024-07-24,Referral
C00248,Home Office,Rawalpindi,2025-09-10,Paid Search
C00249,Home Office,Peshawar,2024-09-22,Organic Search
C00250,Consumer,Lahore,2023-09-22,Paid Search
C00251,Small Business,Lahore,2024-12-04,Affiliate
C00252,Consumer,Rawalpindi,2022-07-13,Organic Search
C00253,Consumer,Karachi,2024-04-18,Organic Search
C00254,Consumer,Islamabad,2022-10-27,Email
C00255,Consumer,Karachi,2023-06-17,Paid Search
C00256,Consumer,Lahore,2022-07-02,Organic Search
C00257,Small Business,Multan,2025-05-08,Organic Search
C00258,Consumer,Gujranwala,2023-08-16,Paid Search
C00259,Consumer,Karachi,2024-02-23,Referral
C00260,Consumer,Lahore,2022-07-11,Social Media
C00261,Consumer,Lahore,2022-09-12,Social Media
C00262,Small Business,Lahore,2023-05-02,Affiliate
C00263,Consumer,Rawalpindi,2022-08-16,Affiliate
C00264,Consumer,Islamabad,2025-03-19,Affiliate
C00265,Home Office,Faisalabad,2023-01-12,Organic Search
C00266,Small Business,Lahore,2025-10-30,Organic Search
C00267,Consumer,Karachi,2025-03-01,Paid Search
C00268,Consumer,Lahore,2024-03-19,Social Media
C00269,Consumer,Rawalpindi,2023-08-01,Social Media
C00270,Small Business,Lahore,2025-04-20,Social Media
C00271,Consumer,Lahore,2025-04-11,Paid search 
C00272,Home Office,Multan,2025-05-31,Social Media
C00273,Consumer,Karachi,2025-05-26,Organic Search
C00274,Home Office,Karachi,2023-05-03,Social Media
C00275,Consumer,Karachi,2024-01-29,Email
C00276,Small Business,Lahore,2024-10-01,Affiliate
C00277,Small Business,Faisalabad,2024-09-26,Paid Search
C00278,Consumer,Karachi,2025-04-14,Paid Search
C00279,Consumer,Islamabad,2023-01-21,Referral
C00280,Consumer,Rawalpindi,2023-11-27,Referral
C00281,Small Business,Lahore,2024-12-24,Organic Search
C00282,Small Business,Peshawar,2025-04-13,Paid Search
C00283,Consumer,Rawalpindi,2023-08-03,Email
C00284,Consumer,Lahore,2025-10-03,Paid Search
C00285,Home Office,Lahore,2023-02-23,Paid Search
C00286,Home Office,Karachi,2025-05-04,Organic Search
C00287,Consumer,Gujranwala,2024-12-15,Email
C00288,Home Office,Islamabad,2023-07-27,Email
C00289,Consumer,Lahore,2024-01-30,Email
C00290,Home Office,Peshawar,2025-03-31,Email
C00291,Home Office,Lahore,2023-09-15,Organic Search
C00292,Consumer,Peshawar,2024-10-19,Paid Search
C00293,Home Office,Rawalpindi,2023-12-29,Organic Search
C00294,Consumer,Peshawar,2023-12-09,Referral
C00295,Consumer,Rawalpindi,2023-01-09,Social Media
C00296,Home Office,Karachi,2025-08-14,Email
C00297,Consumer,Multan,2022-07-03,Paid Search
C00298,Home Office,Peshawar,2025-09-11,Paid Search
C00299,Consumer,Karachi,2024-02-19,Referral
C00300,Home Office,Faisalabad,2022-12-25,Organic Search
C00301,Consumer,Islamabad,2022-11-18,Organic Search
C00302,Small Business,Lahore,2025-12-07,Organic Search
C00303,Consumer,Rawalpindi,2023-01-20,Affiliate
C00304,Consumer,Karachi,2025-05-17,Referral
C00305,Small Business,Karachi,2025-04-18,Email
C00306,Home Office,Gujranwala,2025-10-08,Paid Search
C00307,Small Business,Islamabad,2023-12-28,Referral
C00308,Consumer,Karachi,2025-05-22,Affiliate
C00309,Home Office,Karachi,2025-02-18,Referral
C00310,Consumer,Karachi,2024-05-16,Email
C00311,Home Office,Karachi,2024-06-11,Paid Search
C00312,Consumer,Islamabad,2023-04-21,Paid Search
C00313,Small Business,Karachi,2023-02-25,Social Media
C00314,Consumer,Gujranwala,2023-08-15,Email
C00315,Consumer,Lahore,2022-12-01,Paid Search
C00316,Consumer,Rawalpindi,2024-08-22,Email
C00317,Consumer,Peshawar,2023-08-11,Referral
C00318,Consumer,Faisalabad,2023-06-14,Social Media
C00319,Consumer,Faisalabad,2024-11-07,Email
C00320,Consumer,Gujranwala,2022-07-02,Referral
C00321,Consumer,Multan,2023-08-04,Organic Search
C00322,Consumer,Lahore,2022-10-12,Referral
C00323,Consumer,Karachi,2022-07-28,Email
C00324,Consumer,Islamabad,2025-04-26,Referral
C00325,Home Office,Gujranwala,2024-01-24,Paid Search
C00326,Small Business,Rawalpindi,2024-01-25,Paid Search
C00327,Consumer,Lahore,2023-09-26,Social Media
C00328,Home Office,Karachi,2023-10-06,Organic Search
C00329,Consumer,Karachi,2023-04-30,Email
C00330,Consumer,Lahore,2025-03-23,Paid Search
C00331,Small Business,Gujranwala,2025-11-17,Affiliate
C00332,Consumer,Karachi,2024-01-18,Social Media
C00333,Home Office,Karachi,2024-11-16,Organic Search
C00334,Small Business,Islamabad,2023-12-27,Social Media
C00335,Consumer,Peshawar,2024-06-15,Affiliate
C00336,Consumer,Peshawar,2024-12-09,Organic Search
C00337,Consumer,Karachi,2025-04-27,Organic Search
C00338,Home Office,Karachi,2025-01-28,Affiliate
C00339,Consumer,Islamabad,2023-07-11,Paid Search
C00340,Consumer,Lahore,2023-01-30,Organic Search
C00341,Home Office,Gujranwala,2025-07-27,Email
C00342,Consumer,Gujranwala,2025-12-12,Referral
C00343,Consumer,Peshawar,2025-08-27,Social Media
C00344,Consumer,Rawalpindi,2024-11-25,Social Media
C00345,Home Office,Lahore,2022-08-24,Social Media
C00346,Consumer,Lahore,2024-06-08,Affiliate
C00347,Consumer,Lahore,2025-08-11,Referral
C00348,Home Office,Rawalpindi,2022-10-14,Paid Search
C00349,Consumer,Karachi,2024-12-23,Affiliate
C00350,Small Business,Lahore,2025-09-24,Affiliate
C00351,Home Office,Lahore,2025-09-03,Referral
C00352,Consumer,Lahore,2024-08-03,Email
C00353,Consumer,Lahore,2025-03-27,Paid Search
C00354,Consumer,Rawalpindi,2024-09-11,Social Media
C00355,Consumer,Multan,2023-01-15,Social Media
C00356,Consumer,Faisalabad,2024-10-13,Affiliate
C00357,Home Office,Lahore,2024-12-21,Referral
C00358,Small Business,Islamabad,2024-01-06,Paid Search
C00359,Consumer,Lahore,2024-04-21,Organic Search
C00360,Small Business,Lahore,2025-11-30,Social Media
C00361,Consumer,Lahore,2024-01-01,Organic Search
C00362,Consumer,Karachi,2025-04-29,Affiliate
C00363,Small Business,Karachi,2023-12-20,Organic Search
C00364,Consumer,Rawalpindi,2024-04-15,Referral
C00365,Consumer,Lahore,2024-10-10,Email
C00366,Consumer,Gujranwala,2024-10-12,Referral
C00367,Consumer,Lahore,2025-07-16,Organic Search
C00368,Home Office,Multan,2023-11-13,Organic Search
C00369,Home Office,Karachi,2022-11-06,Email
C00370,Small Business,Lahore,2023-10-08,Referral
C00371,Consumer,Islamabad,2025-09-17,Organic Search
C00372,Consumer,Lahore,2022-10-26,Email
C00373,Consumer,Peshawar,2025-05-04,Organic Search
C00374,Small Business,Karachi,2025-05-10,Affiliate
C00375,Small Business,Lahore,2023-09-02,Paid Search
C00376,Home Office,Lahore,2025-10-15,Organic Search
C00377,Consumer,Karachi,2024-03-22,Referral
C00378,Consumer,Multan,2022-10-27,Paid Search
C00379,Consumer,Faisalabad,2022-10-05,Organic Search
C00380,Consumer,Gujranwala,2022-06-09,Referral
C00381,Small Business,Faisalabad,2022-06-09,Organic Search
C00382,Consumer,Islamabad,2022-10-29,Social Media
C00383,Home Office,Peshawar,2025-06-23,Organic Search
C00384,Consumer,Karachi,2023-10-25,Affiliate
C00385,Consumer,Multan,2023-09-18,Email
C00386,Consumer,Islamabad,2024-06-07,Organic Search
C00387,Consumer,Lahore,2024-02-22,Paid Search
C00388,Consumer,Lahore,2022-10-27,Referral
C00389,Consumer,Peshawar,2023-02-07,Organic Search
C00390,Consumer,Islamabad,2023-07-29,Paid Search
C00391,Consumer,Karachi,2024-11-30,Organic Search
C00392,Home Office,,2023-06-13,Social Media
C00393,Small Business,Multan,2023-11-10,Paid Search
C00394,Consumer,Lahore,2024-06-14,Organic Search
C00395,Consumer,Lahore,2023-07-10,Paid Search
C00396,Small Business,Multan,2022-10-12,Paid Search
C00397,Home Office,Lahore,2023-07-21,Affiliate
C00398,Home Office,Islamabad,2024-08-03,Organic Search
C00399,Home Office,Karachi,2023-05-17,Organic Search
C00400,Consumer,Islamabad,2024-11-06,Organic Search
C00401,Consumer,Gujranwala,2024-02-26,Email
C00402,Consumer,Islamabad,2025-08-31,Referral
C00403,Consumer,Lahore,2024-12-04,Social Media
C00404,Consumer,Faisalabad,2023-08-30,Affiliate
C00405,Home Office,Karachi,2024-01-26,Organic Search
C00406,Consumer,Peshawar,2025-09-04,Organic Search
C00407,Consumer,Faisalabad,2022-09-27,Email
C00408,Consumer,Rawalpindi,2024-12-08,Organic Search
C00409,Consumer,Faisalabad,2024-02-02,Organic Search
C00410,Consumer,Lahore,2023-08-05,Referral
C00411,Consumer,Lahore,2022-06-12,Referral
C00412,Home Office,Lahore,2023-08-26,Organic Search
C00413,Consumer,Peshawar,2023-09-10,Social Media
C00414,Consumer,Faisalabad,2025-06-23,Referral
C00415,Home Office,Peshawar,2024-04-02,Organic Search
C00416,Consumer,Karachi,2025-12-09,social media
C00417,Consumer,Multan,2022-10-26,Paid Search
C00418,Consumer,Peshawar,2023-09-03,Organic Search
C00419,Consumer,Lahore,2024-10-26,Email
C00420,Consumer,Lahore,2025-02-01,Social Media
C00421,Consumer,Lahore,2024-10-10,Paid Search
C00422,Consumer,Peshawar,2024-09-10,Referral
C00423,Consumer,Islamabad,2025-06-28,Referral
C00424,Small Business,Rawalpindi,2024-05-24,Organic Search
C00425,Consumer,Lahore,2023-01-09,Email
C00426,Consumer,Karachi,2023-10-13,Organic Search
C00427,Home Office,Lahore,2022-10-13,Affiliate
C00428,Small Business,Peshawar,2024-11-15,Referral
C00429,Consumer,Karachi,2023-04-04,Organic Search
C00430,Home Office,Lahore,2024-09-23,Paid Search
C00431,Consumer,Peshawar,2022-07-02,Organic Search
C00432,Consumer,Rawalpindi,2024-07-20,Referral
C00433,Small Business,Lahore,2022-12-23,Paid Search
C00434,Consumer,Rawalpindi,2023-11-03,Paid Search
C00435,Consumer,Gujranwala,2023-03-03,Email
C00436,Consumer,Karachi,2025-10-23,Organic Search
C00437,Small Business,Faisalabad,2025-04-20,Organic Search
C00438,Home Office,Rawalpindi,2025-02-23,Organic Search
C00439,Consumer,Rawalpindi,2024-12-02,Email
C00440,Home Office,Lahore,2024-08-22,Paid Search
C00441,Small Business,Rawalpindi,2023-09-28,Organic Search
C00442,Consumer,Islamabad,2022-11-30,Social Media
C00443,Home Office,Islamabad,2022-07-05,Organic Search
C00444,Consumer,Lahore,2023-01-13,Email
C00445,Consumer,Karachi,2023-02-16,Social Media
C00446,Consumer,Lahore,2022-12-13,Email
C00447,Home Office,Lahore,2022-06-02,Social Media
C00448,Small Business,Lahore,2024-05-10,Organic Search
C00449,Consumer,Lahore,2023-11-11,Paid Search
C00450,Home Office,Peshawar,2024-05-13,Organic Search
C00451,Consumer,Lahore,2022-09-04,Referral
C00452,Small Business,Multan,2022-11-09,Paid Search
C00453,Consumer,Islamabad,2025-12-11,Paid Search
C00454,Home Office,Karachi,2023-05-20,Organic Search
C00455,Consumer,Lahore,2022-12-10,Organic Search
C00456,Consumer,Karachi,2023-10-15,social media
C00457,Consumer,Karachi,2025-01-23,Paid Search
C00458,Small Business,Rawalpindi,2023-01-08,Organic Search
C00459,Consumer,Karachi,2023-01-04,Email
C00460,Consumer,Lahore,2023-10-21,Organic Search
C00461,Home Office,Lahore,2023-05-28,Social Media
C00462,Home Office,Karachi,2025-06-02,Social Media
C00463,Consumer,Karachi,2023-03-08,Social Media
C00464,Small Business,Lahore,2024-03-07,Affiliate
C00465,Home Office,Islamabad,2023-11-12,Social Media
C00466,Home Office,Islamabad,2024-09-28,Affiliate
C00467,Consumer,Lahore,2022-07-13,Paid Search
C00468,Consumer,Lahore,2025-09-17,Organic Search
C00469,Small Business,Karachi,2023-11-07,Referral
C00470,Consumer,Islamabad,2024-07-30,Organic Search
C00471,Consumer,Islamabad,2023-04-21,Affiliate
C00472,Consumer,Lahore,2023-01-20,Organic Search
C00473,Consumer,Peshawar,2025-10-13,Organic Search
C00474,Home Office,Karachi,2024-10-21,Organic Search
C00475,Small Business,Peshawar,2023-04-17,Social Media
C00476,Small Business,Karachi,2022-12-11,Email
C00477,Consumer,Karachi,2024-10-10,Referral
C00478,Consumer,Lahore,2023-01-20,Organic Search
C00479,Consumer,Islamabad,2022-07-21,Referral
C00480,Consumer,Peshawar,2023-02-04,Referral
C00481,Consumer,Lahore,2022-09-23,Organic Search
C00482,Small Business,Rawalpindi,2025-08-11,Social Media
C00483,Consumer,Peshawar,2023-06-09,Email
C00484,Consumer,Karachi,2022-10-20,Organic Search
C00485,Consumer,Gujranwala,2024-04-24,Affiliate
C00486,Consumer,Lahore,2023-02-04,Email
C00487,Consumer,Faisalabad,2024-12-10,Social Media
C00488,Consumer,Lahore,2024-05-01,Organic Search
C00489,Consumer,Karachi,2024-06-05,Organic Search
C00490,Consumer,Karachi,2024-10-21,Referral
C00491,Consumer,Lahore,2025-09-22,Organic Search
C00492,Consumer,Faisalabad,2023-06-22,Organic Search
C00493,Home Office,Karachi,2025-12-10,Organic Search
C00494,Consumer,Lahore,2024-11-15,Organic Search
C00495,Consumer,Peshawar,2024-05-26,Organic Search
C00496,Consumer,Karachi,2023-01-22,Referral
C00497,Consumer,Multan,2025-04-28,Email
C00498,Consumer,Lahore,2025-10-19,Paid Search
C00499,Home Office,Islamabad,2023-10-07,Organic Search
C00500,Consumer,Rawalpindi,2024-10-26,Affiliate
C00501,Consumer,Karachi,2022-12-11,Organic Search
C00502,Small Business,Lahore,2025-09-07,Social Media
C00503,Consumer,Karachi,2025-08-24,Organic Search
C00504,Consumer,Karachi,2024-11-29,Social Media
C00505,Consumer,Islamabad,2023-09-15,Social Media
C00506,Consumer,Lahore,2025-01-07,Referral
C00507,Consumer,Rawalpindi,2024-06-30,Organic Search
C00508,Home Office,Rawalpindi,2025-12-11,Social Media
C00509,Consumer,Gujranwala,2024-10-14,Paid Search
C00510,Consumer,Rawalpindi,2022-10-31,Social Media
C00511,Consumer,Karachi,2023-06-16,Organic Search
C00512,Consumer,Faisalabad,2024-12-31,Organic Search
C00513,Home Office,Lahore,2023-11-09,Social Media
C00514,Consumer,Karachi,2025-04-30,Paid Search
C00515,Small Business,Rawalpindi,2023-04-02,Referral
C00516,Consumer,Karachi,2023-07-27,social media
C00517,Consumer,Islamabad,2022-10-23,Organic Search
C00518,Consumer,Peshawar,2023-03-12,Affiliate
C00519,Small Business,Karachi,2024-11-19,Paid Search
